arm,pump,period,start_hour,relative_speed,controls
cma,1,10,20,0.90000000000000002,"0.58494896129022500;0.71579470713520033;0.67892468084119539;0.68810692299547427;0.70905933069656857;0.51357627668159200;0.32183613979406306;0.62853380647855728;0.64415516009596774;0.57542933150830555;0.69304529118715430;0.70510473258496487;0.04450925047380198;0.15900087383929562;0.13405705462812914;0.13093681704848326;0.17971287258161936;0.05063333796743763;0.44504408567567999;0.18992779780240210;0.00000000000000000;0.00000000000000000;0.11789659133208723;0.12902499995241437;0.25764153615854030;0.77784984505513155;0.63299606720084234;0.21454958103604785"
cma,1,11,22,0.90000000000000002,"0.58494896129022500;0.71579470713520033;0.67892468084119539;0.68810692299547427;0.70905933069656857;0.51357627668159200;0.32183613979406306;0.62853380647855728;0.64415516009596774;0.57542933150830555;0.69304529118715430;0.70510473258496487;0.04450925047380198;0.15900087383929562;0.13405705462812914;0.13093681704848326;0.17971287258161936;0.05063333796743763;0.44504408567567999;0.18992779780240210;0.00000000000000000;0.00000000000000000;0.11789659133208723;0.12902499995241437;0.25764153615854030;0.77784984505513155;0.63299606720084234;0.21454958103604785"
cma,2,0,0,0.00000000000000000,"0.58494896129022500;0.71579470713520033;0.67892468084119539;0.68810692299547427;0.70905933069656857;0.51357627668159200;0.32183613979406306;0.62853380647855728;0.64415516009596774;0.57542933150830555;0.69304529118715430;0.70510473258496487;0.04450925047380198;0.15900087383929562;0.13405705462812914;0.13093681704848326;0.17971287258161936;0.05063333796743763;0.44504408567567999;0.18992779780240210;0.00000000000000000;0.00000000000000000;0.11789659133208723;0.12902499995241437;0.25764153615854030;0.77784984505513155;0.63299606720084234;0.21454958103604785"
cma,2,1,2,0.00000000000000000,"0.58494896129022500;0.71579470713520033;0.67892468084119539;0.68810692299547427;0.70905933069656857;0.51357627668159200;0.32183613979406306;0.62853380647855728;0.64415516009596774;0.57542933150830555;0.69304529118715430;0.70510473258496487;0.04450925047380198;0.15900087383929562;0.13405705462812914;0.13093681704848326;0.17971287258161936;0.05063333796743763;0.44504408567567999;0.18992779780240210;0.00000000000000000;0.00000000000000000;0.11789659133208723;0.12902499995241437;0.25764153615854030;0.77784984505513155;0.63299606720084234;0.21454958103604785"
cma,2,2,4,0.00000000000000000,"0.58494896129022500;0.71579470713520033;0.67892468084119539;0.68810692299547427;0.70905933069656857;0.51357627668159200;0.32183613979406306;0.62853380647855728;0.64415516009596774;0.57542933150830555;0.69304529118715430;0.70510473258496487;0.04450925047380198;0.15900087383929562;0.13405705462812914;0.13093681704848326;0.17971287258161936;0.05063333796743763;0.44504408567567999;0.18992779780240210;0.00000000000000000;0.00000000000000000;0.11789659133208723;0.12902499995241437;0.25764153615854030;0.77784984505513155;0.63299606720084234;0.21454958103604785"
cma,2,3,6,0.00000000000000000,"0.58494896129022500;0.71579470713520033;0.67892468084119539;0.68810692299547427;0.70905933069656857;0.51357627668159200;0.32183613979406306;0.62853380647855728;0.64415516009596774;0.57542933150830555;0.69304529118715430;0.70510473258496487;0.04450925047380198;0.15900087383929562;0.13405705462812914;0.13093681704848326;0.17971287258161936;0.05063333796743763;0.44504408567567999;0.18992779780240210;0.00000000000000000;0.00000000000000000;0.11789659133208723;0.12902499995241437;0.25764153615854030;0.77784984505513155;0.63299606720084234;0.21454958103604785"
cma,2,4,8,0.00000000000000000,"0.58494896129022500;0.71579470713520033;0.67892468084119539;0.68810692299547427;0.70905933069656857;0.51357627668159200;0.32183613979406306;0.62853380647855728;0.64415516009596774;0.57542933150830555;0.69304529118715430;0.70510473258496487;0.04450925047380198;0.15900087383929562;0.13405705462812914;0.13093681704848326;0.17971287258161936;0.05063333796743763;0.44504408567567999;0.18992779780240210;0.00000000000000000;0.00000000000000000;0.11789659133208723;0.12902499995241437;0.25764153615854030;0.77784984505513155;0.63299606720084234;0.21454958103604785"
cma,2,5,10,0.00000000000000000,"0.58494896129022500;0.71579470713520033;0.67892468084119539;0.68810692299547427;0.70905933069656857;0.51357627668159200;0.32183613979406306;0.62853380647855728;0.64415516009596774;0.57542933150830555;0.69304529118715430;0.70510473258496487;0.04450925047380198;0.15900087383929562;0.13405705462812914;0.13093681704848326;0.17971287258161936;0.05063333796743763;0.44504408567567999;0.18992779780240210;0.00000000000000000;0.00000000000000000;0.11789659133208723;0.12902499995241437;0.25764153615854030;0.77784984505513155;0.63299606720084234;0.21454958103604785"
cma,2,6,12,0.80000000000000004,"0.58494896129022500;0.71579470713520033;0.67892468084119539;0.68810692299547427;0.70905933069656857;0.51357627668159200;0.32183613979406306;0.62853380647855728;0.64415516009596774;0.57542933150830555;0.69304529118715430;0.70510473258496487;0.04450925047380198;0.15900087383929562;0.13405705462812914;0.13093681704848326;0.17971287258161936;0.05063333796743763;0.44504408567567999;0.18992779780240210;0.00000000000000000;0.00000000000000000;0.11789659133208723;0.12902499995241437;0.25764153615854030;0.77784984505513155;0.63299606720084234;0.21454958103604785"
cma,2,7,14,0.00000000000000000,"0.58494896129022500;0.71579470713520033;0.67892468084119539;0.68810692299547427;0.70905933069656857;0.51357627668159200;0.32183613979406306;0.62853380647855728;0.64415516009596774;0.57542933150830555;0.69304529118715430;0.70510473258496487;0.04450925047380198;0.15900087383929562;0.13405705462812914;0.13093681704848326;0.17971287258161936;0.05063333796743763;0.44504408567567999;0.18992779780240210;0.00000000000000000;0.00000000000000000;0.11789659133208723;0.12902499995241437;0.25764153615854030;0.77784984505513155;0.63299606720084234;0.21454958103604785"
cma,2,8,16,0.00000000000000000,"0.58494896129022500;0.71579470713520033;0.67892468084119539;0.68810692299547427;0.70905933069656857;0.51357627668159200;0.32183613979406306;0.62853380647855728;0.64415516009596774;0.57542933150830555;0.69304529118715430;0.70510473258496487;0.04450925047380198;0.15900087383929562;0.13405705462812914;0.13093681704848326;0.17971287258161936;0.05063333796743763;0.44504408567567999;0.18992779780240210;0.00000000000000000;0.00000000000000000;0.11789659133208723;0.12902499995241437;0.25764153615854030;0.77784984505513155;0.63299606720084234;0.21454958103604785"
cma,2,9,18,0.00000000000000000,"0.58494896129022500;0.71579470713520033;0.67892468084119539;0.68810692299547427;0.70905933069656857;0.51357627668159200;0.32183613979406306;0.62853380647855728;0.64415516009596774;0.57542933150830555;0.69304529118715430;0.70510473258496487;0.04450925047380198;0.15900087383929562;0.13405705462812914;0.13093681704848326;0.17971287258161936;0.05063333796743763;0.44504408567567999;0.18992779780240210;0.00000000000000000;0.00000000000000000;0.11789659133208723;0.12902499995241437;0.25764153615854030;0.77784984505513155;0.63299606720084234;0.21454958103604785"
cma,2,10,20,0.00000000000000000,"0.58494896129022500;0.71579470713520033;0.67892468084119539;0.68810692299547427;0.70905933069656857;0.51357627668159200;0.32183613979406306;0.62853380647855728;0.64415516009596774;0.57542933150830555;0.69304529118715430;0.70510473258496487;0.04450925047380198;0.15900087383929562;0.13405705462812914;0.13093681704848326;0.17971287258161936;0.05063333796743763;0.44504408567567999;0.18992779780240210;0.00000000000000000;0.00000000000000000;0.11789659133208723;0.12902499995241437;0.25764153615854030;0.77784984505513155;0.63299606720084234;0.21454958103604785"
cma,2,11,22,0.00000000000000000,"0.58494896129022500;0.71579470713520033;0.67892468084119539;0.68810692299547427;0.70905933069656857;0.51357627668159200;0.32183613979406306;0.62853380647855728;0.64415516009596774;0.57542933150830555;0.69304529118715430;0.70510473258496487;0.04450925047380198;0.15900087383929562;0.13405705462812914;0.13093681704848326;0.17971287258161936;0.05063333796743763;0.44504408567567999;0.18992779780240210;0.00000000000000000;0.00000000000000000;0.11789659133208723;0.12902499995241437;0.25764153615854030;0.77784984505513155;0.63299606720084234;0.21454958103604785"
de,1,0,0,0.90000000000000002,"0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.34999999999999998;0.65000000000000002;0.40000000000000002;0.00000000000000000"
de,1,1,2,0.90000000000000002,"0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.34999999999999998;0.65000000000000002;0.40000000000000002;0.00000000000000000"
de,1,2,4,0.90000000000000002,"0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.34999999999999998;0.65000000000000002;0.40000000000000002;0.00000000000000000"
de,1,3,6,0.90000000000000002,"0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.34999999999999998;0.65000000000000002;0.40000000000000002;0.00000000000000000"
de,1,4,8,0.90000000000000002,"0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.34999999999999998;0.65000000000000002;0.40000000000000002;0.00000000000000000"
de,1,5,10,0.90000000000000002,"0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.62000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.38000000000000000;0.00000000000000000;0.00000000000000000;0.00000000000000000;0.34999999999999998;0.65000000000000002;0.40000000000000002;0.00000000000000000"
