experiment,scenario_mode,algorithm,seed,workers,popsize,evaluations,optimizer_rollouts,train_scenarios,validation_scenarios,horizon,train_best,validation_score,mean_loss,cvar_loss,success_rate,mean_steps,rms_force,wall_seconds
scaling,fixed,pgpe,43,1,64,20480,81920,4,128,300,0.152752776632,1.006322948913,0.575214202294,1.231739276054,0.492187500000,295.625000,6.687137461290,2.038120675
scaling,fixed,crfmnes,43,1,64,20480,81920,4,128,300,0.385410513905,1.061274784312,0.674503070862,1.105062038428,0.156250000000,295.523438,8.195663631448,1.995070286
scaling,fixed,cmaes,43,1,64,20480,81920,4,128,300,1.087174589329,1.343681931578,0.963457491850,1.086355542079,0.000000000000,300.000000,7.466906682864,1.116513094
scaling,fixed,biteopt,43,1,64,20480,81920,4,128,300,0.778901205435,2.837160470743,1.926715578888,2.601271119587,0.000000000000,221.281250,6.829767183139,1.843298302
scaling,fixed,pgpe,44,1,64,20480,81920,4,128,300,0.174315302373,0.253032193223,0.152485799430,0.287275410839,0.984375000000,298.437500,5.278118556270,2.027336182
scaling,fixed,crfmnes,44,1,64,20480,81920,4,128,300,0.554012654467,1.187756163532,0.801206936712,1.104426362342,0.023437500000,300.000000,8.386153895439,2.014485494
scaling,fixed,cmaes,44,1,64,20480,81920,4,128,300,1.161247947911,1.319183241732,0.936957711843,1.092072942539,0.000000000000,300.000000,6.155309146738,1.105049230
scaling,fixed,biteopt,44,1,64,20480,81920,4,128,300,0.932604981931,1.762581660782,1.193885898673,1.624845034597,0.000000000000,291.789062,7.334481564453,1.883676014
scaling,fixed,pgpe,45,1,64,20480,81920,4,128,300,0.316225088782,1.052189418173,0.705982712304,0.989162016767,0.171875000000,300.000000,7.445974556323,2.080884410
scaling,fixed,crfmnes,45,1,64,20480,81920,4,128,300,0.272900490059,1.028262212156,0.533875368615,1.412533838689,0.632812500000,291.773438,7.390768787068,2.010764646
scaling,fixed,cmaes,45,1,64,20480,81920,4,128,300,1.237496668178,1.367639787481,0.984418016472,1.094919345740,0.000000000000,299.234375,7.525815684975,1.011765678
scaling,fixed,biteopt,45,1,64,20480,81920,4,128,300,0.513697298387,1.264274446058,0.888187256062,1.074534828561,0.007812500000,299.828125,7.742726840131,1.868467436
scaling,fixed,pgpe,46,1,64,20480,81920,4,128,300,0.180510483302,1.107723086682,0.727734199490,1.085682534833,0.328125000000,300.000000,7.371354279925,2.056971624
scaling,fixed,crfmnes,46,1,64,20480,81920,4,128,300,0.158777368556,2.478507967879,1.331587568984,3.276915425414,0.531250000000,228.015625,6.598767056210,1.931249050
scaling,fixed,cmaes,46,1,64,20480,81920,4,128,300,0.994679143940,1.182242729598,0.827824455704,1.012623639697,0.039062500000,300.000000,6.552352846746,1.452764165
scaling,fixed,biteopt,46,1,64,20480,81920,4,128,300,1.019887888509,1.325394685914,0.960740539239,1.041868990498,0.000000000000,300.000000,7.289491717076,1.915858073
scaling,fixed,pgpe,42,16,64,20480,81920,4,128,300,0.165573889031,0.326881887981,0.180510704967,0.418203380039,0.960937500000,297.039062,5.460668604175,0.202755605
scaling,fixed,crfmnes,42,16,64,20480,81920,4,128,300,0.300256368976,0.965527497365,0.535577233015,1.228429326713,0.484375000000,294.320312,7.568455893447,0.223209205
scaling,fixed,cmaes,42,16,64,20480,81920,4,128,300,0.862926014260,1.352373287171,0.958666645139,1.124876120092,0.007812500000,300.000000,6.179568645308,0.475900234
scaling,fixed,biteopt,42,16,64,20480,81920,4,128,300,0.994628963669,2.076462863537,1.298098140690,2.223899208134,0.000000000000,278.148438,7.173659029480,0.184617650
scaling,fixed,pgpe,43,16,64,20480,81920,4,128,300,0.152752776632,1.006322948913,0.575214202294,1.231739276054,0.492187500000,295.625000,6.687137461290,0.197056170
scaling,fixed,crfmnes,43,16,64,20480,81920,4,128,300,0.385410513905,1.061274784312,0.674503070862,1.105062038428,0.156250000000,295.523438,8.195663631448,0.222051171
scaling,fixed,cmaes,43,16,64,20480,81920,4,128,300,1.087174589329,1.343681931578,0.963457491850,1.086355542079,0.000000000000,300.000000,7.466906682864,0.446623342
scaling,fixed,biteopt,43,16,64,20480,81920,4,128,300,0.778901205435,2.837160470743,1.926715578888,2.601271119587,0.000000000000,221.281250,6.829767183139,0.191581764
scaling,fixed,pgpe,44,16,64,20480,81920,4,128,300,0.174315302373,0.253032193223,0.152485799430,0.287275410839,0.984375000000,298.437500,5.278118556270,0.185791941
scaling,fixed,crfmnes,44,16,64,20480,81920,4,128,300,0.554012654467,1.187756163532,0.801206936712,1.104426362342,0.023437500000,300.000000,8.386153895439,0.218758524
scaling,fixed,cmaes,44,16,64,20480,81920,4,128,300,1.161247947911,1.319183241732,0.936957711843,1.092072942539,0.000000000000,300.000000,6.155309146738,0.448879875
scaling,fixed,biteopt,44,16,64,20480,81920,4,128,300,0.932604981931,1.762581660782,1.193885898673,1.624845034597,0.000000000000,291.789062,7.334481564453,0.184811982
scaling,fixed,pgpe,45,16,64,20480,81920,4,128,300,0.316225088782,1.052189418173,0.705982712304,0.989162016767,0.171875000000,300.000000,7.445974556323,0.193060588
scaling,fixed,crfmnes,45,16,64,20480,81920,4,128,300,0.272900490059,1.028262212156,0.533875368615,1.412533838689,0.632812500000,291.773438,7.390768787068,0.218339484
scaling,fixed,cmaes,45,16,64,20480,81920,4,128,300,1.237496668178,1.367639787481,0.984418016472,1.094919345740,0.000000000000,299.234375,7.525815684975,0.440568677
scaling,fixed,biteopt,45,16,64,20480,81920,4,128,300,0.513697298387,1.264274446058,0.888187256062,1.074534828561,0.007812500000,299.828125,7.742726840131,0.191974906
scaling,fixed,pgpe,46,16,64,20480,81920,4,128,300,0.180510483302,1.107723086682,0.727734199490,1.085682534833,0.328125000000,300.000000,7.371354279925,0.192781197
scaling,fixed,crfmnes,46,16,64,20480,81920,4,128,300,0.158777368556,2.478507967879,1.331587568984,3.276915425414,0.531250000000,228.015625,6.598767056210,0.212715301
scaling,fixed,cmaes,46,16,64,20480,81920,4,128,300,0.994679143940,1.182242729598,0.827824455704,1.012623639697,0.039062500000,300.000000,6.552352846746,0.476659717
scaling,fixed,biteopt,46,16,64,20480,81920,4,128,300,1.019887888509,1.325394685914,0.960740539239,1.041868990498,0.000000000000,300.000000,7.289491717076,0.196873160
scaling,fixed,pgpe,42,24,64,20480,81920,4,128,300,0.165573889031,0.326881887981,0.180510704967,0.418203380039,0.960937500000,297.039062,5.460668604175,0.156361643
scaling,fixed,crfmnes,42,24,64,20480,81920,4,128,300,0.300256368976,0.965527497365,0.535577233015,1.228429326713,0.484375000000,294.320312,7.568455893447,0.186372899
scaling,fixed,cmaes,42,24,64,20480,81920,4,128,300,0.862926014260,1.352373287171,0.958666645139,1.124876120092,0.007812500000,300.000000,6.179568645308,0.469823943
